index_,index,customer_city,customer_state,customer_zip_code_prefix,id,most_voted_class,most_voted_subclass,order_aproved_at,order_delivered_customer_date,order_estimated_delivery_date,order_freight_value,order_items_qty,order_products_value,order_purchase_timestamp,order_sellers_qty,order_status,product_category_name,product_description_length,product_name_length,product_photos_qty,review_answer_timestamp,review_comment_message,review_creation_date,review_score,votes_before_estimate,votes_delayed,votes_low_quality,votes_not_as_anounced,votes_other_delivery,votes_other_order,votes_partial_delivery,votes_return,votes_satisfied
10,10,Sao Paulo,SP,33,11,problemas_de_qualidade,devolucao,2018-02-14 17:10:31.680553,2018-02-26 18:57:21.110954,2018-03-23 00:00:00.000000,14.43,1,99.99,2018-02-13 17:15:23,1,delivered,informatica_acessorios,1390,58,2,2018-02-28 02:48:19,foi entregue produto de outra marca inferior ao que foi comprado já reclamei e ninguém entrou em contato quero a troca ou meu dinheiro de volta,2018-02-27 00:00:00,5,0,0,0,1,0,0,0,2,0
11,11,Nova Iguacu,RJ,260,12,satisfeito_com_pedido,satisfeito,2017-04-21 05:22:15.332407,2017-05-09 09:03:57.659321,2017-05-25 00:00:00.000000,17.2,1,65.9,2017-04-19 13:45:55,1,delivered,cama_mesa_banho,104,46,1,2017-05-13 16:55:32,o produto atendeu com as minhas espectativas,2017-05-10 00:00:00,5,0,0,0,0,0,0,0,0,3
12,12,Sao Paulo,SP,43,13,problemas_de_entrega,entrega_parcial,2017-09-13 23:30:11.359436,2017-09-15 19:51:12.828377,2017-09-25 00:00:00.000000,12.17,1,137.4,2017-09-13 23:19:51,1,delivered,livros_interesse_geral,3833,46,7,2017-09-19 04:39:53,vieram apenas 6 livrinhos e não 18 como consta no anúncio quando liguei na loja me informaram que cada livrinho tem 3 edições ou seja cada livrinho sai por 23 reais me senti enganada,2017-09-16 00:00:00,1,0,0,0,1,0,0,2,0,0
13,13,Fortaleza,CE,608,14,problemas_de_entrega,atrasado,2018-02-01 03:12:39.553286,,2018-03-05 00:00:00.000000,15.24,1,69.99,2018-01-31 21:35:00,1,shipped,consoles_games,2751,39,6,2018-03-11 11:37:23,ainda não recebi o produto,2018-03-08 00:00:00,1,0,3,0,0,0,0,0,0,0
14,14,Sao Paulo,SP,14,15,problemas_de_entrega,entrega_parcial,2017-06-28 02:45:37.898656,2017-06-29 13:30:01.787904,2017-07-19 00:00:00.000000,12.81,1,59.9,2017-06-27 14:18:07,4,delivered,utilidades_domesticas,799,41,1,2017-07-01 15:16:39,foram adquiridos 2 produtos o mop foi entregue mas o refil extra não chegou será remetido em separado,2017-06-30 00:00:00,4,0,0,0,0,0,0,3,0,0
15,15,Vitoria de Santo Antao,PE,556,16,satisfeito_com_pedido,satisfeito,2017-10-10 23:28:18.809034,2017-10-30 19:52:38.924107,2017-11-10 00:00:00.000000,25.74,1,66.0,2017-10-10 23:17:10,1,delivered,moveis_decoracao,494,45,1,2017-11-03 00:28:54,entregue corretamente amei a encomenda,2017-10-31 00:00:00,5,0,0,0,0,0,0,0,0,3
16,16,Sao Jose dos Campos,SP,122,17,satisfeito_com_pedido,satisfeito,2018-03-16 03:50:11.800041,2018-03-21 23:12:15.236203,2018-04-11 00:00:00.000000,8.82,1,23.7,2018-03-15 12:11:58,1,delivered,eletrodomesticos,115,31,1,2018-03-24 23:55:58,eu recomendo atendimento ótimo entrega no prazo,2018-03-22 00:00:00,5,0,0,0,0,0,0,0,0,3
17,17,Sao Paulo,SP,14,18,satisfeito_com_pedido,antes_prazo,2018-02-28 15:30:47.379895,2018-03-05 17:17:22.737973,2018-03-13 00:00:00.000000,8.72,1,59.99,2018-02-28 15:19:56,1,delivered,brinquedos,291,29,3,2018-03-07 14:37:50,recebi a mercadoria bem antes do prazo estipulado,2018-03-06 00:00:00,5,3,0,0,0,0,0,0,0,0
18,18,Praia Grande,SP,117,19,satisfeito_com_pedido,antes_prazo,2017-12-27 04:07:30.196381,2018-01-10 16:44:06.620518,2018-01-15 00:00:00.000000,11.89,1,97.9,2017-12-25 12:05:50,1,delivered,eletronicos,390,60,7,2018-01-12 21:33:40,tudo dentro do esperado recebido antes do prazo perfeito obrigado,2018-01-11 00:00:00,5,3,0,0,0,0,0,0,0,0
19,19,Vila Velha,ES,291,20,problemas_de_entrega,entrega_parcial,2017-08-21 20:25:43.187144,2017-08-28 19:37:45.467318,2017-09-15 00:00:00.000000,34.14,1,195.99,2017-08-20 19:40:35,4,delivered,cama_mesa_banho,471,46,1,2017-09-01 04:41:31,eu so recebi 01 kit cobre leito queen vitoria floral tabaco palha 7peças os correios so me entregou este falta a entrega da colcha cobre leito requinte super king percal 000 fios bege estou no aguardo,2017-08-29 00:00:00,2,0,0,0,0,0,0,3,0,0
20,20,Bauru,SP,170,21,problemas_de_entrega,outro_entrega,2017-07-20 16:35:15.419085,2017-07-26 01:42:01.100067,2017-08-09 00:00:00.000000,11.85,1,44.9,2017-07-20 16:24:22,1,delivered,brinquedos,589,45,4,2017-07-28 02:56:33,comprei três produtos que poderiam ser enviados dentro de um pacote só e assim talvez poderia economizar no frete achei um absurdo pagar no frete quase metade do valor em si,2017-07-26 00:00:00,2,0,0,0,0,2,0,1,0,0
21,21,Foz do Iguacu,PR,858,22,satisfeito_com_pedido,antes_prazo,2017-04-17 11:02:13.728571,2017-04-29 07:03:40.988952,2017-05-11 00:00:00.000000,14.8,1,89.9,2017-04-17 10:50:15,1,delivered,casa_conforto,187,56,1,2017-05-02 22:46:00,recomendo o produto foi entregue antes do prazo e em perfeitas condições,2017-04-30 00:00:00,4,2,0,0,0,0,0,0,0,1
22,22,Itaquaquecetuba,SP,85,23,satisfeito_com_pedido,satisfeito,2017-09-18 18:15:14.381826,2017-09-25 22:09:40.089919,2017-10-04 00:00:00.000000,16.26,1,89.9,2017-09-18 18:02:45,1,delivered,cama_mesa_banho,245,54,1,2017-09-27 04:56:16,gosto muito de fazer compras nesta loja produto de boa qualidade e a entrega é rápida,2017-09-26 00:00:00,5,1,0,0,0,0,0,0,0,2
23,23,Sao Goncalo do Amarante,RN,592,24,problemas_de_entrega,entrega_parcial,2017-10-19 00:07:25.649854,2017-10-25 21:22:43.775002,2017-11-14 00:00:00.000000,49.11,1,56.99,2017-10-17 16:48:16,6,delivered,cama_mesa_banho,405,50,1,2017-10-27 21:18:43,a loja não entregou todos os produtos e mesmo assim consta no status como entregue,2017-10-26 00:00:00,1,0,1,0,0,0,0,2,0,0
24,24,Sao Bernardo do Campo,SP,98,25,satisfeito_com_pedido,satisfeito,2017-10-24 08:35:18.644991,2017-10-27 15:10:02.891186,2017-11-07 00:00:00.000000,7.78,1,53.99,2017-10-24 08:27:15,1,delivered,perfumaria,334,44,1,2017-10-29 00:18:14,amei super recomendo pincéis lindos e de boa qualidade,2017-10-28 00:00:00,5,0,0,0,0,0,0,0,0,3
25,25,Guaruja,SP,114,26,problemas_de_entrega,entrega_parcial,2017-11-08 20:56:37.534672,2017-11-11 16:05:02.475502,2017-11-22 00:00:00.000000,0.69,1,41.3,2017-11-08 20:44:32,4,delivered,fashion_bolsas_e_acessorios,1519,52,2,2017-11-14 16:57:38,dos dois produtos listados como entregue o único que veio foi a necessarie o colar não chegou até o presente momento,2017-11-12 00:00:00,2,0,0,0,0,0,0,3,0,0
26,26,Sapucaia do Sul,RS,932,27,satisfeito_com_pedido,antes_prazo,2017-06-07 10:45:31.444832,2017-06-15 11:56:06.656259,2017-07-06 00:00:00.000000,22.41,1,225.0,2017-06-07 10:37:39,1,delivered,cama_mesa_banho,162,58,4,2017-06-16 22:20:15,chegou antes do prazo produto exatamente como esperava,2017-06-16 00:00:00,5,3,0,0,0,0,0,0,0,0
27,27,Sao Paulo,SP,24,28,satisfeito_com_pedido,antes_prazo,2017-07-30 20:50:15.601322,2017-08-01 19:18:52.373111,2017-08-11 00:00:00.000000,7.88,1,89.0,2017-07-30 20:42:14,1,delivered,audio,671,42,5,2017-08-03 04:07:58,parabéns muito bom chegou até antes do prazo,2017-08-02 00:00:00,5,3,0,0,0,0,0,0,0,0
28,28,Sao Joaquim da Barra,SP,146,29,satisfeito_com_pedido,satisfeito,2018-02-07 02:52:16.026790,2018-03-02 15:23:13.770234,2018-03-02 00:00:00.000000,12.43,1,132.97,2018-02-05 09:38:08,1,delivered,informatica_acessorios,604,42,1,2018-03-05 23:14:26,o produto veio correto no prazo certo tudo certo recomendo a todos,2018-03-03 00:00:00,5,0,0,0,0,0,0,0,0,3
29,29,Belo Horizonte,MG,311,30,satisfeito_com_pedido,satisfeito,2017-10-03 22:35:13.510457,2017-10-09 21:44:37.407076,2017-10-25 00:00:00.000000,17.21,1,104.9,2017-10-03 22:20:31,1,delivered,perfumaria,556,55,7,2017-10-11 04:01:33,confio na lannister,2017-10-10 00:00:00,5,0,0,0,0,0,0,0,0,3
30,30,RIO DE JANEIRO,RJ,202,31,,,2017-07-30 16:15:20.371223,2017-08-03 19:14:45.685840,2017-08-29 00:00:00.000000,28.2,2,39.98,2017-07-30 16:03:25,1,delivered,telefonia,599,54,1,2017-08-05 02:42:17,minha compra foi entregue errada inclusive a nota fiscal e de outra pessoa exijo cancelamento no cartao com estorno e a coleta do produto entregue,2017-08-04 00:00:00,1,0,0,0,1,1,0,0,1,0
31,31,Angra dos Reis,RJ,239,32,problemas_de_entrega,atrasado,2017-12-03 19:33:51.393652,2018-01-04 21:38:48.302503,2017-12-29 00:00:00.000000,25.11,1,99.99,2017-12-03 19:18:56,4,delivered,moveis_decoracao,254,63,2,2017-12-31 15:59:45,recebinum email nele constava que houve um problema no transporte da minha encomenda porém quando pedi um exclarecimento simplesmente ignoraram,2017-12-31 00:00:00,1,0,2,0,0,0,1,0,0,0
32,32,Angra dos Reis,RJ,239,33,,,2017-12-30 19:07:21.635542,2018-01-11 21:03:36.502667,2018-02-08 00:00:00.000000,74.43,1,1399.99,2017-12-30 18:59:05,1,delivered,esporte_lazer,1263,49,2,2018-01-15 01:46:30,gostei da entrega e do produto mas infelizmente chegou um pouco arranhada,2018-01-12 00:00:00,4,0,0,1,0,1,0,0,1,0
33,33,Jatai,GO,758,34,satisfeito_com_pedido,satisfeito,2017-11-27 13:39:22.613969,2017-12-05 18:38:53.519827,2017-12-21 00:00:00.000000,38.59,2,470.0,2017-11-27 13:29:05,2,delivered,informatica_acessorios,1482,41,3,2017-12-11 15:49:59,loja entrou em contato para confirmar a tenção da minha casa gostei muito do atendimento e do envio que foi bem rápido,2017-12-06 00:00:00,5,0,0,0,0,0,0,0,0,3
34,34,Guarulhos,SP,72,35,satisfeito_com_pedido,satisfeito,2017-06-06 20:50:21.301555,2017-06-16 12:47:56.241002,2017-06-28 00:00:00.000000,16.68,1,149.99,2017-06-06 20:40:59,1,delivered,cama_mesa_banho,662,52,1,2017-06-18 03:07:30,veio no prazo prometido,2017-06-17 00:00:00,5,0,0,0,0,0,0,0,0,3
35,35,Mirassol,SP,151,36,satisfeito_com_pedido,satisfeito,2018-02-21 22:25:23.914919,2018-03-02 16:08:54.671781,2018-03-23 00:00:00.000000,11.42,1,86.0,2018-02-21 22:08:55,2,delivered,automotivo,888,33,1,2018-03-06 06:15:03,preço e prazo bem competitivos,2018-03-03 00:00:00,5,0,0,0,0,0,0,0,0,3
36,36,Porto Feliz,SP,185,37,problemas_de_qualidade,diferente_do_anunciado,2017-07-27 22:55:20.791869,2017-08-03 18:27:59.654749,2017-08-16 00:00:00.000000,13.86,1,119.99,2017-07-27 22:42:22,1,delivered,esporte_lazer,2371,52,1,2017-08-06 16:17:13,pedido apenas veio errado mas foi entregue na data certa,2017-08-04 00:00:00,5,0,0,0,2,0,0,0,1,0
37,37,Itabuna,BA,456,38,satisfeito_com_pedido,antes_prazo,2017-06-28 06:45:23.236220,2017-07-11 18:37:46.271371,2017-07-27 00:00:00.000000,30.2,1,143.8,2017-06-27 23:02:14,2,delivered,automotivo,621,53,1,2017-07-13 02:13:34,chegou muito rápido fiquei na duvida por nao conhecer o produto mas muito bom o produto,2017-07-12 00:00:00,5,2,0,0,0,0,0,0,0,1
38,38,Sao Paulo,SP,57,39,satisfeito_com_pedido,satisfeito,2017-09-18 15:32:48.667895,2017-09-19 18:25:18.729189,2017-09-28 00:00:00.000000,3.65,1,105.0,2017-09-18 15:07:49,4,delivered,perfumaria,971,45,2,2017-09-21 04:35:59,fiz o pedido na segunda e o prazo era de 10 dias e no dia chegou super rápido e o produto é o que eu queria td perfeito recomendo a tds,2017-09-20 00:00:00,5,1,0,0,0,0,0,0,0,2
39,39,RIO DE JANEIRO,RJ,205,40,,,2017-10-10 18:49:10.314336,2017-10-20 18:29:16.311078,2017-11-17 00:00:00.000000,1.68,1,16.9,2017-10-10 18:31:36,2,delivered,cama_mesa_banho,421,26,1,2017-10-23 13:37:52,no rastreamento das lojas lannister consta somente o po000000000br que recebi em 20 10 às 15 h às 18 h recebi o po000000000br e o po000000000br cada essência uma entrega desorganização total,2017-10-21 00:00:00,1,0,0,0,0,1,1,1,0,0
40,40,Paraiso do Norte,PR,877,41,problemas_de_entrega,atrasado,2018-03-06 03:50:29.062239,2018-04-12 22:56:33.779756,2018-03-28 00:00:00.000000,18.65,1,199.9,2018-03-03 20:41:08,1,delivered,cama_mesa_banho,260,55,1,2018-04-04 03:38:16,ate agora não recebi a mercadoria entro pra rastrear e não consigo rastrear,2018-03-31 00:00:00,1,0,3,0,0,0,0,0,0,0
41,41,Feira de Santana,BA,440,42,satisfeito_com_pedido,satisfeito,2017-07-05 21:43:28.545953,2017-08-01 19:07:41.274557,2017-08-08 00:00:00.000000,16.79,1,17.85,2017-07-05 21:30:02,1,delivered,automotivo,87,54,2,2017-08-05 04:32:03,fantástico,2017-08-02 00:00:00,5,0,0,0,0,0,0,0,0,3
42,42,Fortaleza,CE,604,43,problemas_de_entrega,atrasado,2017-11-25 09:33:12.183625,2017-12-28 23:26:52.837191,2017-12-21 00:00:00.000000,17.66,1,53.99,2017-11-25 09:14:23,1,delivered,perfumaria,334,44,1,2017-12-22 12:24:44,como posso avaliar algo que não recebi já paguei o produto e no status diz que o produto não chegou ainda na unidade da minha cidade entrega para 21 12 0007 cadê o produto fico no prejuízo,2017-12-22 00:00:00,1,0,3,0,0,0,0,0,0,0
43,43,Sao Paulo,SP,49,44,satisfeito_com_pedido,satisfeito,2017-12-21 13:49:52.268784,2017-12-26 21:06:59.631659,2018-01-10 00:00:00.000000,8.08,1,118.0,2017-12-21 13:29:07,1,delivered,perfumaria,190,29,1,2018-01-03 20:56:36,não posso avaliar o produto não foi para uso pessoal o que posso dizer e que a pessoa q ganho gosta muito dele,2017-12-27 00:00:00,4,0,0,0,0,0,0,0,0,3
44,44,Sertaozinho,SP,141,45,satisfeito_com_pedido,satisfeito,2017-12-07 03:16:02.451370,2017-12-11 23:47:48.349986,2017-12-29 00:00:00.000000,12.33,1,118.0,2017-12-06 21:27:33,1,delivered,perfumaria,345,33,1,2017-12-13 10:13:44,excelente produto recomendo a compra,2017-12-12 00:00:00,5,0,0,0,0,0,0,0,0,3
45,45,Sao Sebastiao,SP,116,46,satisfeito_com_pedido,satisfeito,2018-02-10 20:10:23.050334,2018-02-21 15:07:56.566320,2018-03-06 00:00:00.000000,11.85,1,18.9,2018-02-10 20:01:43,1,delivered,telefonia,1440,60,4,2018-02-23 01:15:49,produto chegou dentro do prazo bem embalado veio todos intens corretos gostei muito,2018-02-22 00:00:00,4,0,0,0,0,0,0,0,0,3
46,46,Mogi-Guacu,SP,138,47,problemas_de_qualidade,devolucao,2018-02-17 22:06:51.114696,2018-02-28 18:43:13.468380,2018-03-15 00:00:00.000000,12.48,1,19.9,2018-02-17 21:47:15,1,delivered,eletronicos,331,46,1,2018-03-02 12:46:59,sim o produto foi entregue no prazo mais na compra eu selecionei o produto errado e gostaria de trocá lo pois não funcionou no meu aparelho,2018-03-01 00:00:00,5,0,0,0,0,0,0,0,2,0
47,47,Sao Paulo,SP,46,48,satisfeito_com_pedido,satisfeito,2018-01-22 13:57:25.815299,2018-02-03 17:51:14.248813,2018-02-22 00:00:00.000000,12.76,1,59.9,2018-01-21 19:08:49,1,delivered,fashion_roupa_masculina,336,56,1,2018-02-04 23:11:50,transaction perfect,2018-02-04 00:00:00,5,0,0,0,0,0,0,0,0,3
48,48,Contagem,MG,321,49,,,2017-12-03 12:33:06.299332,2017-12-29 18:07:00.474475,2018-01-02 00:00:00.000000,17.86,1,86.99,2017-12-03 12:15:43,1,delivered,brinquedos,889,55,3,2017-12-30 22:35:30,ao comprar o produto o prazo de entrega era antes do natal de repente mudou para após o natal,2017-12-30 00:00:00,1,0,1,0,0,1,1,0,0,0
49,49,Paranagua,PR,832,50,,,2017-09-03 18:45:12.149245,2017-09-05 18:23:20.782424,2017-09-25 00:00:00.000000,15.1,1,29.0,2017-09-03 18:33:50,2,delivered,relogios_presentes,179,60,3,2017-09-07 06:42:14,a única coisa que o frete está um pouco alto poderia ser bem nenos só não comprei mais por esse motivo,2017-09-06 00:00:00,4,1,0,0,0,1,1,0,0,0
50,50,RIO DE JANEIRO,RJ,213,51,satisfeito_com_pedido,antes_prazo,2017-06-13 08:55:17.663466,2017-06-30 14:07:55.931372,2017-07-06 00:00:00.000000,15.84,1,155.0,2017-06-13 08:42:34,1,delivered,informatica_acessorios,327,36,1,2017-07-02 02:25:47,o preço fo excelente e a entrega foi feita antes do prazo solicitado parabéns,2017-07-01 00:00:00,5,2,0,0,0,0,0,0,0,1
51,51,Barbacena,MG,362,52,satisfeito_com_pedido,satisfeito,2017-07-12 18:25:23.023952,2017-07-19 13:22:35.392929,2017-08-03 00:00:00.000000,18.76,1,349.99,2017-07-12 18:12:38,1,delivered,brinquedos,484,64,2,2017-07-21 01:01:14,muito bom o stark super indico,2017-07-20 00:00:00,5,0,0,0,0,0,0,0,0,3
52,52,Itatiba,SP,132,53,satisfeito_com_pedido,antes_prazo,2017-09-11 15:44:04.723326,2017-09-13 17:59:59.878386,2017-09-21 00:00:00.000000,12.61,1,140.0,2017-09-11 15:24:45,4,delivered,market_place,1373,43,3,2017-09-16 00:49:53,compra chegou corretamente muito antes do esperado recomendo muito,2017-09-14 00:00:00,5,3,0,0,0,0,0,0,0,0
53,53,Sao Paulo,SP,26,54,satisfeito_com_pedido,satisfeito,2017-09-05 04:44:22.032771,2017-09-15 19:03:51.894629,2017-09-21 00:00:00.000000,18.49,1,172.33,2017-09-01 08:13:51,1,delivered,cool_stuff,2648,38,4,2017-09-19 00:15:25,produto bom preço assecível com entrega no prazo,2017-09-16 00:00:00,4,0,0,0,0,0,0,0,0,3
54,54,Sao Paulo,SP,31,55,problemas_de_qualidade,devolucao,2018-02-26 15:35:38.747612,2018-03-05 21:26:53.866956,2018-03-16 00:00:00.000000,14.45,1,204.0,2018-02-26 15:21:10,1,delivered,relogios_presentes,782,42,1,2018-03-07 14:43:25,por gentileza quero meu dinheiro de volta tem que vista que o produto nao chegou como imaginei,2018-03-06 00:00:00,4,0,0,0,0,0,0,0,3,0
55,55,Guaruja,SP,114,56,satisfeito_com_pedido,antes_prazo,2017-08-10 16:25:17.185195,2017-08-19 14:17:43.400598,2017-08-30 00:00:00.000000,36.06,3,222.0,2017-08-10 16:07:21,1,delivered,cama_mesa_banho,291,51,1,2017-08-21 04:46:26,amei superou minhas expectivas produto de qualidade e entrega rápida,2017-08-20 00:00:00,5,2,0,0,0,0,0,0,0,1
56,56,Quatro Barras,PR,834,57,,,2017-05-23 10:45:09.249416,2017-05-29 09:49:07.792473,2017-06-14 00:00:00.000000,15.24,1,69.9,2017-05-23 10:33:48,1,delivered,esporte_lazer,737,57,1,2017-05-31 14:31:59,uma droga não recebi de acordo com a compra no anuncio dizia 2 creatinas universal e recebi somente uma creatina e uma shakeira de de péssima qualidade estou profundamente indignado postei um,2017-05-30 00:00:00,1,0,0,1,1,0,0,1,0,0
57,57,Monte Alto,SP,159,58,,,2018-03-01 11:14:35.487894,2018-03-21 17:21:31.181058,2018-03-22 00:00:00.000000,16.11,1,39.9,2018-03-01 10:52:14,1,delivered,informatica_acessorios,1525,57,4,2018-03-24 22:28:21,mandaram o carregador sem a parte do cabo que coloca na tomada mas o carregador funciona,2018-03-22 00:00:00,3,0,0,0,1,0,1,0,0,1
58,58,Belo Horizonte,MG,305,59,satisfeito_com_pedido,satisfeito,2017-09-23 19:05:40.739184,2017-10-02 15:39:01.651530,2017-10-19 00:00:00.000000,20.27,1,246.62,2017-09-22 18:58:41,1,delivered,telefonia,1246,50,1,2017-10-04 00:53:56,gostei muito,2017-10-03 00:00:00,5,0,0,0,0,0,0,0,0,3
59,59,SAO PAULO,SP,82,60,problemas_de_entrega,atrasado,2018-01-30 04:31:09.369277,,2018-02-14 00:00:00.000000,7.78,1,49.0,2018-01-28 14:45:34,1,shipped,relogios_presentes,312,57,4,2018-02-19 23:54:34,não posso avaliar a loja no momento tô muito triste e chateada procurando os meus direitos pq tava agendado pro dia 15 02 até o momento nada e nenhuma satisfação fui nos coreeios e nada,2018-02-17 00:00:00,1,0,3,0,0,0,0,0,0,0
60,60,BRASILIA,DF,719,61,problemas_de_entrega,entrega_parcial,2017-10-11 13:49:14.013481,2017-11-07 19:52:42.414865,2017-11-06 00:00:00.000000,15.1,1,24.9,2017-10-11 13:36:29,1,delivered,cama_mesa_banho,113,46,1,2017-10-27 17:03:59,faltou o item 1 ou seja não recebi as 2 saias quero a outra,2017-10-25 00:00:00,1,0,0,0,0,0,0,3,0,0
61,61,Salvador,BA,403,62,problemas_de_qualidade,diferente_do_anunciado,2017-10-17 04:25:08.807711,2017-10-26 22:46:11.225947,2017-11-10 00:00:00.000000,33.58,2,99.8,2017-10-14 10:17:15,1,delivered,moveis_decoracao,924,50,1,2017-10-30 18:26:16,no anuncio diz ser 3 cores mas veio com varias cores,2017-10-27 00:00:00,1,0,0,0,3,0,0,0,0,0
62,62,Moreno,PE,548,63,satisfeito_com_pedido,satisfeito,2017-11-07 05:32:14.381947,2017-11-16 19:07:20.686367,2017-12-06 00:00:00.000000,31.74,1,55.5,2017-11-06 21:23:20,2,delivered,beleza_saude,1305,46,1,2017-11-21 01:00:09,parabens muito bom,2017-11-17 00:00:00,5,0,0,0,0,0,0,0,0,3
63,63,Sorocaba,SP,180,64,satisfeito_com_pedido,satisfeito,2017-08-13 19:20:13.592320,2017-08-18 15:19:37.718328,2017-09-01 00:00:00.000000,12.83,1,69.9,2017-08-13 18:35:00,1,delivered,cama_mesa_banho,689,58,1,2017-08-26 02:30:07,mto bom ótimo produto,2017-08-19 00:00:00,4,0,0,0,0,0,0,0,0,3
64,64,Barbacena,MG,362,65,problemas_de_entrega,entrega_parcial,2017-10-18 23:28:19.450924,2017-10-24 17:10:47.675085,2017-11-08 00:00:00.000000,24.39,1,113.0,2017-10-18 21:54:17,4,delivered,moveis_decoracao,130,55,1,2017-10-27 15:13:05,so recebi uma das cortinas,2017-10-25 00:00:00,3,0,0,0,0,0,0,3,0,0
